Data,Planta,Linha,Turno,Modelo,VIN,Pecas_Produzidas,Meta,Defeitos,Tempo_Parada_min,Operadores,Sucata_kg,Custo_R$
2025-05-21,Goiana,C,2,Hatch-Y,VIN000028,545,568,12,6,15,"67,8","1599505,57"
2025-01-04,Porto Real,C,3,SUV-X,VIN000029,589,601,9,14,19,"30,7","1654402,42"
2025-02-06,Goiana,B,1,Sedan-W,VIN000030,429,462,2,5,15,"48,6","1177728,45"
2025-01-10,Betim,B,2,SUV-X,VIN000031,663,632,9,77,9,"5,4","1823839,41"
2025-04-04,Porto Real,A,2,Pickup-Z,VIN000032,576,586,10,76,15,"64,2","1425470,96"
2025-06-15,Betim,B,2,Hatch-Y,VIN000033,477,456,11,8,17,"119,9","1283184,37"
2025-05-11,Betim,D,2,Hatch-Y,VIN000034,567,600,5,19,14,"16,2","1105511,02"
2025-05-03,Goiana,B,1,SUV-X,VIN000035,471,500,9,85,17,"66,7","909861,45"
2025-01-11,Betim,B,3,Sedan-W,VIN000036,479,495,4,83,20,"68,1","1228080,39"
2025-01-27,Goiana,A,3,Pickup-Z,VIN000037,425,464,2,57,20,"73,2","876459,39"
2025-04-02,Porto Real,A,1,Pickup-Z,VIN000038,492,479,13,63,9,"11,7","1346223,56"
2025-03-01,Betim,C,3,Pickup-Z,VIN000039,414,439,1,44,8,"42,2","1280206,63"
2025-02-15,Betim,B,3,Sedan-W,VIN000040,581,567,14,43,20,"75,8","1054429,88"
2025-05-10,Porto Real,D,2,Sedan-W,VIN000041,566,535,12,4,16,"68,7","1749824,3"
2025-04-24,Betim,C,3,Pickup-Z,VIN000042,605,621,1,80,13,"85,8","1858656,54"
2025-03-22,Betim,B,3,Pickup-Z,VIN000043,638,646,4,44,17,"105,8","1539862,69"
2025-04-09,Porto Real,C,3,SUV-X,VIN000044,648,647,9,28,17,"72,9","1321183,37"
2025-06-17,Porto Real,D,1,SUV-X,VIN000045,577,604,9,35,9,"44,8","1249637,3"
2025-05-02,Betim,D,2,Sedan-W,VIN000046,539,506,3,12,16,"114,9","1609745,11"
2025-04-02,Porto Real,B,2,Sedan-W,VIN000047,574,590,11,61,11,"52,8","1764298,7"
2025-02-08,Betim,C,3,Sedan-W,VIN000048,447,486,0,11,20,"78,2","1411233,1"
2025-04-07,Betim,C,1,SUV-X,VIN000049,536,576,4,70,10,"80,9","1248318,79"
2025-01-11,Betim,A,2,SUV-X,VIN000050,496,462,12,8,13,"95,1","1539374,57"
2025-03-30,Betim,B,2,Sedan-W,VIN000051,654,634,8,27,18,"67,9","1607668,71"
2025-01-15,Goiana,C,2,SUV-X,VIN000052,515,527,11,46,14,"45,2","1227111,59"
2025-01-03,Betim,B,3,SUV-X,VIN000053,455,429,8,44,16,"47,6","870741,29"
2025-05-14,Porto Real,B,1,Sedan-W,VIN000054,656,629,6,18,11,"104,9","2018096,81"
2025-01-27,Goiana,A,3,Sedan-W,VIN000055,455,459,13,61,12,"95,7","1308930,51"
2025-03-08,Betim,A,2,SUV-X,VIN000056,521,516,1,30,14,96,"988657,15"
2025-04-07,Porto Real,A,1,Hatch-Y,VIN000057,542,529,7,49,19,"12,8","1444526,97"
2025-05-31,Goiana,B,3,Pickup-Z,VIN000058,517,492,4,16,14,"108,7","1226806,43"
2025-01-20,Goiana,C,2,Sedan-W,VIN000059,663,637,3,79,18,"77,7","2006471,19"
2025-05-29,Betim,A,1,Pickup-Z,VIN000060,427,425,15,1,11,"44,3","1228390,41"
2025-03-10,Goiana,D,2,SUV-X,VIN000061,517,516,8,54,13,"71,2","1589319,5"
2025-05-07,Porto Real,A,3,Sedan-W,VIN000062,435,449,14,42,8,41,"1144313,72"
2025-04-16,Porto Real,D,1,Sedan-W,VIN000063,529,540,13,30,20,46,"1369705,37"
2025-04-09,Porto Real,D,1,Pickup-Z,VIN000064,509,535,12,39,17,19,"1526856,91"
2025-04-23,Betim,A,2,SUV-X,VIN000065,525,565,5,46,16,"49,8","1568781,21"
2025-03-12,Goiana,A,2,SUV-X,VIN000066,493,468,10,28,8,"26,3","1550176,73"
2025-04-11,Betim,C,1,Sedan-W,VIN000067,588,557,6,3,10,"106,7","1151951,27"
2025-04-09,Porto Real,C,2,Hatch-Y,VIN000068,515,549,2,85,8,"38,1","1071361,61"
2025-06-22,Goiana,B,2,Hatch-Y,VIN000069,608,642,15,12,16,"27,8","1518772,42"
2025-03-27,Betim,C,1,Hatch-Y,VIN000070,434,455,8,51,19,"69,2","905302,85"
2025-06-27,Betim,A,3,Hatch-Y,VIN000071,568,562,14,7,9,"21,7","1746060,09"
2025-03-11,Goiana,B,3,SUV-X,VIN000072,625,649,12,82,14,"39,7","1430154,42"
2025-03-13,Betim,A,3,Sedan-W,VIN000073,441,448,9,79,9,"100,8","1235303,36"
2025-05-26,Porto Real,B,1,Hatch-Y,VIN000074,539,571,10,87,17,"55,3","1458248,01"
2025-06-13,Goiana,D,2,Pickup-Z,VIN000075,422,444,2,73,13,"28,7","1291636,26"
2025-01-23,Betim,A,2,Pickup-Z,VIN000076,576,568,2,31,12,"72,9","1826275,17"
2025-02-07,Goiana,B,1,SUV-X,VIN000077,423,451,11,24,16,"49,4","1238744,98"
2025-04-01,Porto Real,A,2,Hatch-Y,VIN000078,639,621,15,90,11,"117,7","1856427,5"
2025-06-27,Porto Real,C,1,Hatch-Y,VIN000079,421,430,13,88,17,44,"1138529,73"
2025-04-18,Betim,C,3,Hatch-Y,VIN000080,468,441,9,11,12,"101,8","1202126,34"
2025-03-21,Porto Real,B,3,SUV-X,VIN000081,455,494,12,71,16,"30,8","988384,41"
2025-06-25,Betim,D,2,Hatch-Y,VIN000082,541,581,9,24,13,"48,1","1309861,23"
2025-06-10,Porto Real,C,1,SUV-X,VIN000083,535,550,5,56,20,"66,4","1454943,58"
2025-05-11,Goiana,B,2,Hatch-Y,VIN000084,431,464,13,55,20,"68,1","1168814,62"
2025-01-27,Porto Real,B,1,Sedan-W,VIN000085,444,474,5,36,10,"105,7","868393,5"
2025-02-16,Porto Real,D,2,Pickup-Z,VIN000086,606,646,15,43,15,"17,4","1289315,87"
2025-04-03,Betim,B,1,Hatch-Y,VIN000087,395,421,14,33,10,"73,4","1098054,88"
2025-06-18,Betim,A,1,SUV-X,VIN000088,390,424,11,64,20,"104,6","858344,09"
2025-04-02,Porto Real,D,1,Sedan-W,VIN000089,639,640,7,71,20,"115,6","1445086,2"
2025-06-25,Goiana,C,1,Sedan-W,VIN000090,587,554,6,47,12,"68,1","1303951,41"
2025-03-14,Porto Real,D,2,SUV-X,VIN000091,527,532,11,77,12,"18,6","971195,7"
2025-06-19,Porto Real,D,3,Pickup-Z,VIN000092,480,496,1,4,13,"88,8","1204776,85"
2025-01-19,Betim,C,2,Hatch-Y,VIN000093,496,473,9,46,19,50,"1028152,12"
2025-02-03,Betim,D,2,Hatch-Y,VIN000094,583,606,4,20,11,"104,6","1648323,22"
2025-02-12,Porto Real,C,2,Pickup-Z,VIN000095,466,466,0,80,10,"23,6","1276699,93"
2025-01-14,Porto Real,C,1,Pickup-Z,VIN000096,525,508,2,52,10,"96,3","1072452,84"
2025-04-03,Betim,D,3,Sedan-W,VIN000097,468,458,0,46,11,"5,7","1025148,63"
2025-02-19,Betim,B,1,SUV-X,VIN000098,639,609,1,73,18,"89,3","1434932,63"
2025-01-26,Goiana,A,2,Sedan-W,VIN000099,612,578,12,8,12,"50,6","1250698,01"
2025-06-07,Goiana,A,3,Sedan-W,VIN000100,528,527,9,32,10,"56,7","1025898,55"
2025-02-03,Goiana,A,3,SUV-X,VIN000101,509,489,4,19,14,"33,8","1208708,08"
2025-05-12,Goiana,D,2,Sedan-W,VIN000102,423,452,10,17,19,"53,7","963509,4"
2025-05-06,Porto Real,D,2,Hatch-Y,VIN000103,607,613,9,13,8,67,"1623663,62"
2025-06-02,Porto Real,A,1,SUV-X,VIN000104,405,426,3,34,15,"57,4","1147633,16"
2025-02-01,Betim,C,3,Pickup-Z,VIN000105,577,572,5,11,10,"50,6","1061296,83"
2025-05-07,Goiana,D,1,Sedan-W,VIN000106,547,515,12,15,9,"11,5","1264737,76"
2025-06-11,Betim,D,1,SUV-X,VIN000107,448,485,3,41,19,"94,1","1053973,09"
2025-06-13,Porto Real,C,2,Sedan-W,VIN000108,490,480,10,24,11,"76,2","1470091,73"
2025-05-25,Goiana,B,2,Hatch-Y,VIN000109,462,448,1,33,15,"55,7","1251813,83"
2025-01-08,Goiana,B,1,Pickup-Z,VIN000110,460,449,4,10,10,"108,3","1302062,2"
2025-06-25,Goiana,D,1,Sedan-W,VIN000111,447,421,9,20,19,"22,6","1282639,15"
2025-01-23,Porto Real,D,2,Pickup-Z,VIN000112,529,549,14,49,11,"45,4","1477745,7"
2025-01-04,Porto Real,B,3,Pickup-Z,VIN000113,534,518,7,51,8,"15,8","1112417,89"
2025-01-01,Betim,A,2,Pickup-Z,VIN000114,554,533,4,69,11,"115,9","1128115,58"
2025-05-24,Betim,D,2,Pickup-Z,VIN000115,570,593,2,51,19,"72,5","1428624,52"
2025-02-25,Betim,B,3,Sedan-W,VIN000116,554,526,5,40,8,"85,4","1034106,25"
2025-05-28,Betim,A,3,Hatch-Y,VIN000117,408,440,8,34,14,"24,7","742270,27"
2025-05-02,Porto Real,D,1,SUV-X,VIN000118,566,590,6,87,19,"86,3","1432464,44"
2025-06-11,Goiana,D,3,Pickup-Z,VIN000119,617,614,15,69,17,"67,1",1286706
2025-06-06,Porto Real,B,1,Sedan-W,VIN000120,613,603,2,1,8,"70,3","1879917,82"
2025-02-07,Betim,C,1,Hatch-Y,VIN000121,545,579,15,10,11,"13,6","1008307,1"
2025-01-13,Goiana,D,1,Hatch-Y,VIN000122,468,462,1,46,11,"78,5","1355466,02"
2025-04-26,Betim,A,2,Sedan-W,VIN000123,532,518,9,23,15,"10,4","1252951,63"
2025-04-13,Goiana,C,2,SUV-X,VIN000124,538,554,3,56,15,"18,4","1325380,82"
2025-05-20,Goiana,B,3,Sedan-W,VIN000125,448,444,2,26,12,87,"899047,93"
2025-06-19,Porto Real,D,1,Pickup-Z,VIN000126,557,582,10,24,14,"22,1","1385363,39"
2025-05-09,Betim,D,3,Hatch-Y,VIN000127,560,532,13,50,20,"108,4","1411896,92"
2025-03-06,Porto Real,D,1,Pickup-Z,VIN000128,632,629,13,44,20,"68,6","1749847,08"
2025-05-03,Betim,C,3,Sedan-W,VIN000129,513,527,1,20,12,"108,6","1277162,74"
2025-03-22,Betim,C,3,Pickup-Z,VIN000130,513,498,1,9,9,"108,2","978368,34"
2025-05-17,Betim,A,2,Pickup-Z,VIN000131,468,441,1,82,14,"36,7","968777,88"
2025-03-28,Porto Real,B,2,Sedan-W,VIN000132,527,553,15,18,10,"96,8","1153701,26"
2025-05-05,Porto Real,B,2,SUV-X,VIN000133,641,615,14,62,19,"118,3","1840145,93"
2025-04-11,Porto Real,B,1,Sedan-W,VIN000134,432,435,5,19,17,"82,9","930956,12"
2025-05-01,Betim,B,2,Sedan-W,VIN000135,431,438,13,32,9,"23,6","1100248,84"
2025-06-27,Betim,C,3,Hatch-Y,VIN000136,624,618,1,27,16,81,"1711259,4"
2025-04-20,Porto Real,C,2,Pickup-Z,VIN000137,613,621,0,9,14,"91,4","1608047,66"
2025-02-24,Porto Real,C,2,SUV-X,VIN000138,589,574,7,71,15,"12,3","1632783,53"
2025-06-12,Porto Real,C,2,Sedan-W,VIN000139,606,576,14,15,8,"80,2","1552821,42"
2025-06-16,Porto Real,A,2,SUV-X,VIN000140,553,524,0,62,10,"31,4","1217322,37"
2025-01-28,Porto Real,D,2,Hatch-Y,VIN000141,573,605,3,32,9,"45,3","1123238,56"
2025-05-27,Betim,B,2,SUV-X,VIN000142,504,481,12,66,14,"104,7","936116,7"
2025-01-10,Goiana,B,1,SUV-X,VIN000143,491,505,13,28,12,"68,1","1253514,26"
2025-03-11,Betim,A,2,Sedan-W,VIN000144,455,459,13,55,20,"109,9","1188709,31"
2025-01-09,Betim,A,1,SUV-X,VIN000145,586,555,10,82,15,"62,9","1177380,04"
2025-02-01,Betim,C,2,Sedan-W,VIN000146,575,556,5,3,14,"48,8","1252141,56"
2025-03-26,Goiana,B,3,Hatch-Y,VIN000147,425,444,3,32,16,"27,6","1031780,83"
2025-03-22,Betim,D,1,Sedan-W,VIN000148,526,542,8,13,12,"87,5","1513603,59"
2025-01-04,Betim,D,1,Pickup-Z,VIN000149,524,496,12,80,10,"5,6","1412399,92"
2025-04-13,Betim,A,1,Sedan-W,VIN000150,502,542,5,6,8,"17,6","1167815,67"
2025-03-10,Goiana,B,1,Pickup-Z,VIN000151,415,441,11,18,13,"113,1","1005761,36"
2025-06-16,Betim,A,1,Pickup-Z,VIN000152,633,618,11,76,13,18,"1913299,75"
2025-01-15,Porto Real,A,2,SUV-X,VIN000153,550,575,5,36,20,"66,5","1668739,78"
2025-06-02,Betim,C,1,Pickup-Z,VIN000154,572,561,7,84,8,"75,9","1076870,81"
2025-06-26,Porto Real,C,2,Sedan-W,VIN000155,535,519,4,21,13,"112,1","1152958,68"
2025-02-16,Betim,B,3,Hatch-Y,VIN000156,473,496,0,54,18,"54,7","1307090,91"
2025-05-26,Porto Real,A,1,Hatch-Y,VIN000157,500,472,5,53,14,"41,1","1476891,14"
2025-06-15,Betim,A,2,SUV-X,VIN000158,433,442,13,28,8,84,"989910,63"
2025-04-13,Betim,C,1,Pickup-Z,VIN000159,538,544,14,60,19,"84,7","1334050,24"
2025-02-22,Betim,D,3,Sedan-W,VIN000160,673,648,15,13,9,"93,9","1614450,67"
2025-02-04,Porto Real,B,2,Pickup-Z,VIN000161,527,538,8,64,20,"114,7","1487398,7"
2025-01-19,Betim,C,3,Sedan-W,VIN000162,507,523,11,69,12,53,"1007255,45"
2025-05-22,Betim,C,3,Hatch-Y,VIN000163,549,517,9,70,14,42,"1239346,79"
2025-02-26,Betim,B,3,Hatch-Y,VIN000164,445,465,8,5,16,"59,4","984017,34"
2025-03-27,Goiana,C,2,Hatch-Y,VIN000165,451,475,8,74,13,"22,9","1193997,36"
2025-04-28,Goiana,B,2,Sedan-W,VIN000166,482,479,8,71,20,"94,6","1205562,9"
2025-05-12,Goiana,A,3,SUV-X,VIN000167,435,472,10,10,13,"15,1","1199783,3"
2025-03-20,Betim,D,2,Hatch-Y,VIN000168,541,546,0,7,12,"58,4","1388975,14"
2025-03-27,Betim,C,2,SUV-X,VIN000169,419,429,13,88,8,"30,5","1316646,4"
2025-02-18,Goiana,C,2,Sedan-W,VIN000170,593,622,5,38,9,26,"1405147,2"
2025-03-25,Betim,B,1,Sedan-W,VIN000171,515,509,11,47,9,"43,2","1463577,32"
2025-02-16,Goiana,C,2,Hatch-Y,VIN000172,636,650,8,43,8,"18,7","1578395,18"
2025-05-11,Goiana,B,2,Sedan-W,VIN000173,589,619,6,40,19,"100,7","1812959,9"
2025-01-11,Porto Real,D,1,Sedan-W,VIN000174,667,638,9,4,14,"36,6","2108050,89"
2025-02-26,Goiana,D,1,Pickup-Z,VIN000175,636,638,6,29,20,"63,4","1960999,08"
2025-03-20,Goiana,B,2,Sedan-W,VIN000176,563,599,15,18,12,"118,1","1344483,82"
2025-04-24,Betim,B,3,Pickup-Z,VIN000177,633,618,7,56,16,"66,2","1995436,88"
2025-01-18,Betim,B,3,SUV-X,VIN000178,647,640,6,8,11,"6,4","1717594,57"
2025-01-13,Porto Real,C,1,SUV-X,VIN000179,471,455,9,58,12,"32,4","910135,7"
2025-04-25,Betim,C,2,Sedan-W,VIN000180,428,452,1,30,13,"98,7","1011853,66"
2025-03-15,Goiana,B,3,Hatch-Y,VIN000181,483,494,14,40,9,"99,4","960924,27"
2025-03-04,Betim,B,2,Hatch-Y,VIN000182,524,519,0,61,16,"39,8","945052,67"
2025-04-21,Betim,A,3,Pickup-Z,VIN000183,543,543,13,17,12,"65,6","1723152,92"
2025-03-25,Goiana,A,2,Hatch-Y,VIN000184,613,596,9,56,12,"114,9","1157075,35"
2025-02-17,Betim,A,1,SUV-X,VIN000185,584,572,11,25,14,"99,2","1728203,82"
2025-05-21,Goiana,C,3,Hatch-Y,VIN000186,534,566,5,58,10,"71,6","1556006,35"
2025-01-05,Porto Real,D,3,Hatch-Y,VIN000187,512,552,12,30,9,"74,1","1155692,45"
2025-02-16,Betim,A,2,Hatch-Y,VIN000188,555,572,2,87,8,"93,3","1617187,92"
2025-02-03,Goiana,B,1,Pickup-Z,VIN000189,545,565,4,86,9,"50,6","1059081,64"
2025-01-02,Porto Real,C,3,Pickup-Z,VIN000190,441,478,15,78,18,"107,8","1064542,49"
2025-05-31,Porto Real,C,1,Pickup-Z,VIN000191,398,425,12,53,13,"119,6","793017,45"
2025-03-12,Goiana,C,3,SUV-X,VIN000192,527,534,4,4,11,"95,4","1490237,36"
2025-01-14,Goiana,A,1,SUV-X,VIN000193,603,599,12,35,12,"41,4","1631085,93"
2025-06-23,Porto Real,C,3,Sedan-W,VIN000194,589,606,7,8,8,"66,4","1421337,41"
2025-01-24,Porto Real,C,3,Hatch-Y,VIN000195,474,470,6,78,20,"17,7","1113289,34"
2025-04-16,Porto Real,A,3,Sedan-W,VIN000196,578,575,5,40,12,"50,4","1811337,79"
2025-01-06,Porto Real,D,1,Pickup-Z,VIN000197,591,559,4,18,14,"21,2","1739387,64"
2025-02-21,Goiana,D,3,Sedan-W,VIN000198,582,565,9,1,12,"55,6","1458505,96"
2025-03-18,Porto Real,D,2,Hatch-Y,VIN000199,548,545,2,90,19,"72,3","1511956,39"
2025-06-22,Goiana,C,1,SUV-X,VIN000200,524,491,5,51,14,"107,5","1304761,2"
2025-06-06,Porto Real,A,3,SUV-X,VIN000201,505,489,2,73,12,"67,3","999474,92"
2025-05-08,Goiana,C,3,Sedan-W,VIN000202,590,612,6,16,18,"57,8","1223722,09"
2025-05-19,Goiana,C,1,Pickup-Z,VIN000203,493,522,8,71,20,"39,4",1403139
2025-06-09,Porto Real,B,2,Hatch-Y,VIN000204,467,448,6,27,14,"63,7","1322811,27"
2025-01-21,Goiana,B,3,Sedan-W,VIN000205,670,647,15,70,14,"75,1","2093319,24"
2025-04-16,Porto Real,C,1,Sedan-W,VIN000206,483,473,5,16,13,"57,9","969611,93"
2025-04-27,Porto Real,C,1,Pickup-Z,VIN000207,514,481,0,76,13,"114,7","1554199,07"
2025-04-30,Betim,B,1,Pickup-Z,VIN000208,458,449,4,8,15,60,"1014359,86"
2025-01-09,Goiana,A,3,SUV-X,VIN000209,574,550,1,75,16,68,"1069579,2"
2025-03-04,Betim,D,2,Sedan-W,VIN000210,457,439,13,57,15,23,"1339899,83"
2025-06-22,Betim,D,2,SUV-X,VIN000211,415,426,15,47,19,"74,1","920059,68"
2025-06-13,Betim,D,3,Sedan-W,VIN000212,480,519,10,10,19,"51,5","1330363,51"
2025-04-12,Betim,C,3,Hatch-Y,VIN000213,556,593,3,16,18,"48,7","1523314,78"
2025-03-25,Betim,B,2,Hatch-Y,VIN000214,449,457,8,75,8,"28,8","994631,67"
2025-04-30,Goiana,C,3,Hatch-Y,VIN000215,516,524,12,5,16,"15,2","1327772,45"
2025-06-21,Goiana,D,1,SUV-X,VIN000216,444,480,1,50,14,"105,9","1294916,24"
2025-02-03,Betim,A,2,Sedan-W,VIN000217,623,611,8,81,9,"68,2","1641275,01"
2025-02-11,Porto Real,B,3,Sedan-W,VIN000218,481,475,1,68,14,"99,5","946320,16"
2025-05-24,Betim,D,3,Hatch-Y,VIN000219,497,530,14,81,17,"55,8","1588857,64"
2025-01-05,Goiana,B,2,Pickup-Z,VIN000220,580,609,8,38,16,"119,2","1279496,94"
2025-03-02,Betim,A,3,Hatch-Y,VIN000221,604,638,5,47,9,"40,9","1677647,96"
2025-05-01,Porto Real,D,3,Sedan-W,VIN000222,491,508,11,84,11,"112,7","1463054,48"
2025-06-21,Porto Real,D,2,Hatch-Y,VIN000223,633,645,14,40,15,"27,7","1728800,31"
2025-04-27,Goiana,D,2,SUV-X,VIN000224,485,476,14,12,12,"114,5",1239761
2025-01-14,Betim,D,1,SUV-X,VIN000225,456,438,1,62,9,"80,1","1338162,33"
2025-06-02,Betim,A,2,Hatch-Y,VIN000226,470,453,11,8,11,"66,5","1316238,83"
2025-03-09,Betim,D,3,Hatch-Y,VIN000227,419,448,12,10,18,"97,8","857248,21"
2025-05-15,Porto Real,D,2,Sedan-W,VIN000228,548,555,6,74,20,"40,7","1149283,18"
2025-02-18,Goiana,C,2,SUV-X,VIN000229,522,560,11,29,9,"114,7","1475439,65"
2025-06-15,Goiana,B,1,Sedan-W,VIN000230,636,606,6,51,11,"26,9",1641781
2025-04-20,Porto Real,B,3,SUV-X,VIN000231,577,582,5,19,17,"69,6","1090564,02"
2025-05-29,Goiana,B,1,Hatch-Y,VIN000232,491,524,1,52,8,"40,4","1082219,82"
2025-04-12,Porto Real,B,1,Hatch-Y,VIN000233,535,507,10,12,15,"114,7","1377053,29"
2025-03-08,Porto Real,B,2,Hatch-Y,VIN000234,489,497,4,84,10,"22,7","1012529,79"
2025-01-18,Betim,D,2,Sedan-W,VIN000235,604,569,14,10,20,"66,2","1436489,06"
2025-05-14,Porto Real,C,3,Pickup-Z,VIN000236,615,647,6,13,15,"85,9","1934208,6"
2025-05-24,Betim,D,3,Sedan-W,VIN000237,538,558,2,90,9,"24,7","1309437,73"
2025-06-14,Goiana,D,2,Pickup-Z,VIN000238,458,454,10,87,12,"104,6","1038557,46"
2025-04-13,Betim,B,1,Pickup-Z,VIN000239,523,526,9,58,12,"105,8","1157483,73"
2025-05-19,Goiana,D,3,SUV-X,VIN000240,618,608,14,22,8,"56,3","1240376,19"
2025-01-05,Goiana,A,3,Hatch-Y,VIN000241,527,508,10,22,13,"65,6","1614933,7"
2025-02-07,Goiana,A,3,Pickup-Z,VIN000242,643,632,7,11,15,"30,1","1641928,94"
2025-05-30,Porto Real,B,3,SUV-X,VIN000243,600,591,14,51,14,"44,6","1160280,63"
2025-01-07,Porto Real,C,2,Pickup-Z,VIN000244,658,623,10,24,9,"22,7","2082650,1"
2025-01-31,Goiana,B,3,Hatch-Y,VIN000245,426,461,9,65,19,32,"1312456,15"
2025-06-03,Porto Real,A,1,Sedan-W,VIN000246,637,636,12,62,17,"38,9","1997204,16"
2025-03-16,Goiana,D,1,Hatch-Y,VIN000247,532,517,8,23,13,"83,3","1196200,31"
2025-01-01,Goiana,B,1,Pickup-Z,VIN000248,635,615,10,89,14,"24,2","1394241,33"
2025-05-21,Goiana,B,2,Pickup-Z,VIN000249,607,607,11,60,14,"37,8",1596210
2025-03-21,Porto Real,C,2,Hatch-Y,VIN000250,552,585,4,40,14,"21,9","1061130,81"
2025-04-24,Porto Real,D,3,Sedan-W,VIN000251,590,627,8,47,20,"104,7","1844776,45"
2025-05-06,Porto Real,B,2,Hatch-Y,VIN000252,473,488,10,89,13,"71,8","963256,72"
2025-03-04,Betim,B,3,SUV-X,VIN000253,518,502,9,60,14,"33,1","1036627,93"
2025-06-19,Betim,B,1,Hatch-Y,VIN000254,569,562,6,54,19,"99,1","1173386,2"
2025-01-19,Goiana,A,1,Hatch-Y,VIN000255,574,540,1,86,19,"90,9","1344056,4"
2025-01-06,Betim,B,1,Pickup-Z,VIN000256,452,452,15,27,16,116,"1199361,27"
2025-03-11,Porto Real,B,2,Sedan-W,VIN000257,572,566,6,78,16,"115,8","1467865,01"
2025-02-04,Betim,C,1,Sedan-W,VIN000258,419,453,3,81,13,"71,3","1100802,72"
2025-04-11,Porto Real,D,1,Sedan-W,VIN000259,583,596,3,42,12,"49,7","1260006,91"
2025-06-04,Betim,A,1,Pickup-Z,VIN000260,467,489,14,71,17,"25,3","1319285,72"
2025-01-18,Porto Real,D,1,Sedan-W,VIN000261,518,503,4,11,9,"79,1","1133733,42"
2025-01-24,Goiana,A,3,Sedan-W,VIN000262,517,549,7,39,19,"28,8","1646739,71"
2025-05-18,Goiana,B,1,SUV-X,VIN000263,427,445,14,5,14,"67,7","1326015,79"
2025-04-26,Porto Real,C,3,Hatch-Y,VIN000264,515,541,13,88,14,"92,8","1298370,07"
2025-01-10,Porto Real,C,2,SUV-X,VIN000265,479,506,14,51,8,"64,3","1420621,22"
2025-03-22,Goiana,D,2,Pickup-Z,VIN000266,492,506,2,17,14,"80,3","1418718,57"
2025-01-25,Betim,C,1,Sedan-W,VIN000267,430,457,15,16,13,"51,1","934131,44"
2025-06-25,Betim,A,2,Sedan-W,VIN000268,593,558,6,84,15,"113,9","1376638,25"
2025-03-30,Porto Real,C,2,Sedan-W,VIN000269,525,559,15,52,19,"90,5","1559754,24"
2025-04-23,Betim,B,1,SUV-X,VIN000270,486,470,10,23,9,"77,9","1534245,65"
2025-04-26,Goiana,C,3,Sedan-W,VIN000271,410,430,9,72,13,"110,2","858099,29"
2025-03-20,Porto Real,C,1,Hatch-Y,VIN000272,514,521,11,88,8,"85,9","1272593,09"
2025-01-08,Goiana,A,1,Pickup-Z,VIN000273,534,525,0,81,17,"12,4","1538710,41"
